motif_name,naive_found,naive_time,boyer_moore_found,boyer_moore_time,pigeon_hole_mm0_found,pigeon_hole_mm0_time,pigeon_hole_mm0_ham1_found,pigeon_hole_mm0_ham2_found,pigeon_hole_mm0_ham3_found,pigeon_hole_mm0_ham4_found,pigeon_hole_mm0_ham5_found,pigeon_hole_mm1_found,pigeon_hole_mm1_time,pigeon_hole_mm1_ham1_found,pigeon_hole_mm1_ham2_found,pigeon_hole_mm1_ham3_found,pigeon_hole_mm1_ham4_found,pigeon_hole_mm1_ham5_found,pigeon_hole_mm2_found,pigeon_hole_mm2_time,pigeon_hole_mm2_ham1_found,pigeon_hole_mm2_ham2_found,pigeon_hole_mm2_ham3_found,pigeon_hole_mm2_ham4_found,pigeon_hole_mm2_ham5_found,pigeon_hole_mm3_found,pigeon_hole_mm3_time,pigeon_hole_mm3_ham1_found,pigeon_hole_mm3_ham2_found,pigeon_hole_mm3_ham3_found,pigeon_hole_mm3_ham4_found,pigeon_hole_mm3_ham5_found,pigeon_hole_mm4_found,pigeon_hole_mm4_time,pigeon_hole_mm4_ham1_found,pigeon_hole_mm4_ham2_found,pigeon_hole_mm4_ham3_found,pigeon_hole_mm4_ham4_found,pigeon_hole_mm4_ham5_found,pigeon_hole_mm5_found,pigeon_hole_mm5_time,pigeon_hole_mm5_ham1_found,pigeon_hole_mm5_ham2_found,pigeon_hole_mm5_ham3_found,pigeon_hole_mm5_ham4_found,pigeon_hole_mm5_ham5_found
M00_len15_ham0,True,3.418,True,1.442,True,1.189,False,False,False,False,False,True,3.224,True,False,False,False,False,True,6.362,True,True,False,False,False,True,11.299,True,True,True,False,False,True,15.552,True,True,True,True,False,True,25.995,True,True,True,True,True
M01_len15_ham0,True,3.435,True,1.691,True,1.587,False,False,False,False,False,True,4.017,True,False,False,False,False,True,7.762,True,True,False,False,False,True,13.168,True,True,True,False,False,True,16.710,True,True,True,True,False,True,27.441,True,True,True,True,True
M02_len15_ham0,True,3.206,True,1.594,True,2.046,False,False,False,False,False,True,4.769,True,False,False,False,False,True,7.837,True,True,False,False,False,True,13.265,True,True,True,False,False,True,16.973,True,True,True,True,False,True,26.095,True,True,True,True,True
M03_len15_ham0,True,4.313,True,1.044,True,1.067,False,False,False,False,False,True,3.605,True,False,False,False,False,True,6.595,True,True,False,False,False,True,12.604,True,True,True,False,False,True,16.857,True,True,True,True,False,True,25.573,True,True,True,True,True
M04_len15_ham0,True,3.882,True,1.593,True,1.448,False,False,False,False,False,True,3.378,True,False,False,False,False,True,7.329,True,True,False,False,False,True,12.633,True,True,True,False,False,True,15.946,True,True,True,True,False,True,28.063,True,True,True,True,True
M05_len15_ham0,True,3.383,True,1.542,True,3.228,False,False,False,False,False,True,4.591,True,False,False,False,False,True,7.955,True,True,False,False,False,True,13.560,True,True,True,False,False,True,16.149,True,True,True,True,False,True,27.638,True,True,True,True,True
M06_len15_ham0,True,3.259,True,1.723,True,3.070,False,False,False,False,False,True,4.738,True,False,False,False,False,True,7.087,True,True,False,False,False,True,13.210,True,True,True,False,False,True,15.947,True,True,True,True,False,True,26.616,True,True,True,True,True
M07_len15_ham0,True,3.345,True,1.973,True,2.285,False,False,False,False,False,True,3.731,True,False,False,False,False,True,8.282,True,True,False,False,False,True,13.117,True,True,True,False,False,True,17.516,True,True,True,True,False,True,28.248,True,True,True,True,True
M08_len15_ham0,True,3.390,True,1.716,True,1.576,False,False,False,False,False,True,3.123,True,False,False,False,False,True,6.857,True,True,False,False,False,True,11.986,True,True,True,False,False,True,16.302,True,True,True,True,False,True,26.506,True,True,True,True,True
M09_len15_ham0,True,3.265,True,1.592,True,3.569,False,False,False,False,False,True,4.543,True,False,False,False,False,True,7.919,True,True,False,False,False,True,12.954,True,True,True,False,False,True,17.046,True,True,True,True,False,True,28.150,True,True,True,True,True
M10_len15_ham0,True,3.470,True,1.623,True,2.727,False,False,False,False,False,True,4.351,True,False,False,False,False,True,7.720,True,True,False,False,False,True,11.927,True,True,True,False,False,True,15.781,True,True,True,True,False,True,27.323,True,True,True,True,True
M11_len15_ham0,True,3.356,True,1.747,True,1.500,False,False,False,False,False,True,3.548,True,False,False,False,False,True,5.995,True,True,False,False,False,True,11.303,True,True,True,False,False,True,16.149,True,True,True,True,False,True,27.058,True,True,True,True,True
M12_len15_ham0,True,3.831,True,1.586,True,1.661,False,False,False,False,False,True,4.157,True,False,False,False,False,True,6.730,True,True,False,False,False,True,11.638,True,True,True,False,False,True,16.446,True,True,True,True,False,True,28.489,True,True,True,True,True
M13_len15_ham0,True,3.647,True,1.147,True,0.930,False,False,False,False,False,True,3.412,True,False,False,False,False,True,7.076,True,True,False,False,False,True,11.653,True,True,True,False,False,True,15.680,True,True,True,True,False,True,27.196,True,True,True,True,True
M14_len15_ham0,True,3.235,True,1.346,True,1.458,False,False,False,False,False,True,2.749,True,False,False,False,False,True,6.985,True,True,False,False,False,True,11.547,True,True,True,False,False,True,15.924,True,True,True,True,False,True,27.130,True,True,True,True,True
M15_len15_ham0,True,3.503,True,1.584,True,1.760,False,False,False,False,False,True,3.062,True,False,False,False,False,True,7.160,True,True,False,False,False,True,11.686,True,True,True,False,False,True,16.655,True,True,True,True,False,True,26.668,True,True,True,True,True
M16_len15_ham0,True,3.492,True,1.361,True,1.251,False,False,False,False,False,True,3.479,True,False,False,False,False,True,6.092,True,True,False,False,False,True,10.847,True,True,True,False,False,True,15.411,True,True,True,True,False,True,26.021,True,True,True,True,True
M17_len15_ham0,True,3.333,True,1.879,True,2.128,False,False,False,False,False,True,4.051,True,False,False,False,False,True,7.704,True,True,False,False,False,True,11.784,True,True,True,False,False,True,16.565,True,True,True,True,False,True,28.573,True,True,True,True,True
M18_len15_ham0,True,3.204,True,1.939,True,2.464,False,False,False,False,False,True,5.171,True,False,False,False,False,True,6.687,True,True,False,False,False,True,11.655,True,True,True,False,False,True,15.151,True,True,True,True,False,True,25.458,True,True,True,True,True
M19_len15_ham0,True,3.336,True,1.769,True,2.335,False,False,False,False,False,True,4.350,True,False,False,False,False,True,7.656,True,True,False,False,False,True,13.006,True,True,True,False,False,True,17.264,True,True,True,True,False,True,28.186,True,True,True,True,True
M20_len50_ham0,True,3.369,True,1.033,True,1.643,False,False,False,False,False,True,3.775,True,False,False,False,False,True,5.445,True,True,False,False,False,True,6.707,True,True,True,False,False,True,9.933,True,True,True,True,False,True,12.630,True,True,True,True,True
M21_len50_ham0,True,3.201,False,0.969,True,1.674,False,False,False,False,False,True,3.296,True,False,False,False,False,True,6.403,True,True,False,False,False,True,8.975,True,True,True,False,False,True,11.602,True,True,True,True,False,True,12.097,True,True,True,True,True
M22_len50_ham0,True,3.441,True,1.064,True,3.475,False,False,False,False,False,True,3.897,True,False,False,False,False,True,5.484,True,True,False,False,False,True,7.313,True,True,True,False,False,True,9.490,True,True,True,True,False,True,12.773,True,True,True,True,True
M23_len50_ham0,True,3.334,True,1.439,True,3.765,False,False,False,False,False,True,4.642,True,False,False,False,False,True,7.762,True,True,False,False,False,True,7.425,True,True,True,False,False,True,11.107,True,True,True,True,False,True,12.470,True,True,True,True,True
M24_len50_ham0,True,3.182,True,0.971,True,1.752,False,False,False,False,False,True,4.760,True,False,False,False,False,True,4.642,True,True,False,False,False,True,6.517,True,True,True,False,False,True,7.639,True,True,True,True,False,True,9.483,True,True,True,True,True
M25_len50_ham0,True,3.704,True,0.777,True,1.033,False,False,False,False,False,True,1.990,True,False,False,False,False,True,4.947,True,True,False,False,False,True,5.515,True,True,True,False,False,True,6.835,True,True,True,True,False,True,10.041,True,True,True,True,True
M26_len50_ham0,True,3.573,True,1.959,True,2.034,False,False,False,False,False,True,3.524,True,False,False,False,False,True,5.684,True,True,False,False,False,True,8.172,True,True,True,False,False,True,9.720,True,True,True,True,False,True,11.447,True,True,True,True,True
M27_len50_ham0,True,3.230,True,1.857,True,1.530,False,False,False,False,False,True,3.154,True,False,False,False,False,True,5.637,True,True,False,False,False,True,6.230,True,True,True,False,False,True,10.679,True,True,True,True,False,True,12.936,True,True,True,True,True
M28_len50_ham0,True,3.296,True,1.018,True,1.547,False,False,False,False,False,True,2.853,True,False,False,False,False,True,6.133,True,True,False,False,False,True,6.823,True,True,True,False,False,True,9.167,True,True,True,True,False,True,11.337,True,True,True,True,True
M29_len50_ham0,True,3.332,True,1.182,True,1.946,False,False,False,False,False,True,3.269,True,False,False,False,False,True,5.811,True,True,False,False,False,True,5.715,True,True,True,False,False,True,11.479,True,True,True,True,False,True,12.530,True,True,True,True,True
