motif_length,algorithm,success_rate,avg_execution_time,time_std_error,median_execution_time,speedup_ratio,total_motifs
15,naive,100.0%,3.465150,0.060884,3.386500,1.000,20
15,boyer_moore,96.7%,1.594550,0.053404,1.593500,2.173,20
15,pigeon_hole_mm0,100.0%,1.963950,0.167410,1.710500,1.764,20
15,pigeon_hole_mm1,100.0%,3.902450,0.149448,3.874000,0.888,20
15,pigeon_hole_mm2,100.0%,7.189500,0.146465,7.123500,0.482,20
15,pigeon_hole_mm3,100.0%,12.242100,0.182514,11.956500,0.283,20
15,pigeon_hole_mm4,100.0%,16.301200,0.143948,16.225500,0.213,20
15,pigeon_hole_mm5,100.0%,27.121350,0.219337,27.163000,0.128,20
50,naive,100.0%,3.461050,0.054826,3.354000,1.000,20
50,boyer_moore,96.7%,1.150950,0.070639,1.064500,3.007,20
50,pigeon_hole_mm0,100.0%,1.933050,0.190166,1.658500,1.790,20
50,pigeon_hole_mm1,100.0%,3.475050,0.265047,3.282500,0.996,20
50,pigeon_hole_mm2,100.0%,5.642400,0.238195,5.637000,0.613,20
50,pigeon_hole_mm3,100.0%,7.130100,0.340046,6.794000,0.485,20
50,pigeon_hole_mm4,100.0%,9.586650,0.344220,9.826500,0.361,20
50,pigeon_hole_mm5,100.0%,11.445400,0.269870,11.392000,0.302,20
120,naive,100.0%,3.604050,0.113309,3.397000,1.000,20
120,boyer_moore,96.7%,1.065300,0.064667,1.096000,3.383,20
120,pigeon_hole_mm0,100.0%,1.869950,0.170194,1.907000,1.927,20
120,pigeon_hole_mm1,100.0%,3.638400,0.220805,3.571000,0.991,20
120,pigeon_hole_mm2,100.0%,5.523900,0.282097,5.287500,0.652,20
120,pigeon_hole_mm3,100.0%,7.262950,0.266829,7.406000,0.496,20
120,pigeon_hole_mm4,100.0%,8.967400,0.263034,9.273500,0.402,20
120,pigeon_hole_mm5,100.0%,10.968150,0.324705,10.985000,0.329,20
